x,y,reachable,best_pitch_deg,best_yaw_deg,reason
-0.3,-0.05,1,0,0,
-0.3,-0.03,1,0,0,
-0.3,-0.01,1,0,0,
-0.3,0.01,1,0,0,
-0.3,0.03,1,0,0,
-0.3,0.05,1,0,0,
-0.3,0.07,1,0,0,
-0.3,0.09,1,0,0,
-0.3,0.11,1,0,0,
-0.3,0.13,1,0,0,
-0.3,0.15,1,0,0,
-0.3,0.17,1,0,0,
-0.3,0.19,1,0,0,
-0.3,0.21,1,0,0,
-0.3,0.23,1,0,0,
-0.3,0.25,1,0,0,
-0.3,0.27,1,0,0,
-0.3,0.29,1,0,0,
-0.3,0.31,1,0,0,
-0.3,0.33,1,0,0,
-0.3,0.35,1,0,0,
-0.3,0.37,1,5,0,
-0.3,0.39,1,10,0,
-0.3,0.41,1,10,0,
-0.3,0.43,0,,,no_ik_solution
-0.3,0.45,0,,,no_ik_solution
-0.3,0.47,0,,,no_ik_solution
-0.3,0.49,0,,,no_ik_solution
-0.3,0.51,0,,,no_ik_solution
-0.3,0.53,0,,,no_ik_solution
-0.3,0.55,0,,,no_ik_solution
-0.28,-0.05,1,0,0,
-0.28,-0.03,1,0,0,
-0.28,-0.01,1,0,0,
-0.28,0.01,1,0,0,
-0.28,0.03,1,0,0,
-0.28,0.05,1,0,0,
-0.28,0.07,1,0,0,
-0.28,0.09,1,0,0,
-0.28,0.11,1,0,0,
-0.28,0.13,1,0,0,
-0.28,0.15,1,0,0,
-0.28,0.17,1,0,0,
-0.28,0.19,1,0,0,
-0.28,0.21,1,0,0,
-0.28,0.23,1,0,0,
-0.28,0.25,1,0,0,
-0.28,0.27,1,0,0,
-0.28,0.29,1,0,0,
-0.28,0.31,1,0,0,
-0.28,0.33,1,0,0,
-0.28,0.35,1,0,0,
-0.28,0.37,1,0,0,
-0.28,0.39,1,5,0,
-0.28,0.41,1,10,0,
-0.28,0.43,0,,,no_ik_solution
-0.28,0.45,0,,,no_ik_solution
-0.28,0.47,0,,,no_ik_solution
-0.28,0.49,0,,,no_ik_solution
-0.28,0.51,0,,,no_ik_solution
-0.28,0.53,0,,,no_ik_solution
-0.28,0.55,0,,,no_ik_solution
-0.26,-0.05,1,0,0,
-0.26,-0.03,1,0,0,
-0.26,-0.01,1,0,0,
-0.26,0.01,1,0,0,
-0.26,0.03,1,0,0,
-0.26,0.05,1,0,0,
-0.26,0.07,1,0,0,
-0.26,0.09,1,0,0,
-0.26,0.11,1,0,0,
-0.26,0.13,1,0,0,
-0.26,0.15,1,0,0,
-0.26,0.17,1,0,0,
-0.26,0.19,1,0,0,
-0.26,0.21,1,0,0,
-0.26,0.23,1,0,0,
-0.26,0.25,1,0,0,
-0.26,0.27,1,0,0,
-0.26,0.29,1,0,0,
-0.26,0.31,1,0,0,
-0.26,0.33,1,0,0,
-0.26,0.35,1,0,0,
-0.26,0.37,1,0,0,
-0.26,0.39,1,0,0,
-0.26,0.41,1,5,0,
-0.26,0.43,1,10,0,
-0.26,0.45,0,,,no_ik_solution
-0.26,0.47,0,,,no_ik_solution
-0.26,0.49,0,,,no_ik_solution
-0.26,0.51,0,,,no_ik_solution
-0.26,0.53,0,,,no_ik_solution
-0.26,0.55,0,,,no_ik_solution
-0.24,-0.05,1,0,0,
-0.24,-0.03,1,0,0,
-0.24,-0.01,1,0,0,
-0.24,0.01,1,0,0,
-0.24,0.03,1,0,0,
-0.24,0.05,1,0,0,
-0.24,0.07,1,0,0,
-0.24,0.09,1,0,0,
-0.24,0.11,1,0,0,
-0.24,0.13,1,0,0,
-0.24,0.15,1,0,0,
-0.24,0.17,1,0,0,
-0.24,0.19,1,0,0,
-0.24,0.21,1,0,0,
-0.24,0.23,1,0,0,
-0.24,0.25,1,0,0,
-0.24,0.27,1,0,0,
-0.24,0.29,1,0,0,
-0.24,0.31,1,0,0,
-0.24,0.33,1,0,0,
-0.24,0.35,1,0,0,
-0.24,0.37,1,0,0,
-0.24,0.39,1,0,0,
-0.24,0.41,1,5,0,
-0.24,0.43,1,5,0,
-0.24,0.45,1,10,0,
-0.24,0.47,0,,,no_ik_solution
-0.24,0.49,0,,,no_ik_solution
-0.24,0.51,0,,,no_ik_solution
-0.24,0.53,0,,,no_ik_solution
-0.24,0.55,0,,,no_ik_solution
-0.22,-0.05,1,0,0,
-0.22,-0.03,1,0,0,
-0.22,-0.01,1,0,0,
-0.22,0.01,1,0,0,
-0.22,0.03,1,0,0,
-0.22,0.05,1,0,0,
-0.22,0.07,1,0,0,
-0.22,0.09,1,0,0,
-0.22,0.11,1,0,0,
-0.22,0.13,1,0,0,
-0.22,0.15,1,0,0,
-0.22,0.17,1,0,0,
-0.22,0.19,1,0,0,
-0.22,0.21,1,0,0,
-0.22,0.23,1,0,0,
