x,z,reachable,best_pitch_deg,best_yaw_deg,reason
-0.3,0.05,0,,,no_ik_solution
-0.3,0.07,0,,,no_ik_solution
-0.3,0.09,1,0,90,
-0.3,0.11,1,0,60,
-0.3,0.13,1,0,30,
-0.3,0.15,1,0,30,
-0.3,0.17,1,0,30,
-0.3,0.19,1,0,30,
-0.3,0.21,1,0,30,
-0.3,0.23,1,0,30,
-0.3,0.25,1,0,30,
-0.3,0.27,1,0,30,
-0.3,0.29,1,0,30,
-0.3,0.31,1,0,60,
-0.3,0.33,1,0,60,
-0.3,0.35,1,0,60,
-0.3,0.37,1,0,0,
-0.3,0.39,1,0,0,
-0.3,0.41,1,0,0,
-0.3,0.43,1,0,0,
-0.3,0.45,1,0,0,
-0.3,0.47,1,0,0,
-0.3,0.49,1,5,0,
-0.3,0.51,0,,,no_ik_solution
-0.3,0.53,0,,,no_ik_solution
-0.3,0.55,0,,,no_ik_solution
-0.3,0.57,0,,,no_ik_solution
-0.3,0.59,0,,,no_ik_solution
-0.3,0.61,0,,,no_ik_solution
-0.3,0.63,0,,,no_ik_solution
-0.3,0.65,0,,,no_ik_solution
-0.3,0.67,0,,,no_ik_solution
-0.3,0.69,0,,,no_ik_solution
-0.3,0.71,0,,,no_ik_solution
-0.3,0.73,0,,,no_ik_solution
-0.3,0.75,0,,,no_ik_solution
-0.3,0.77,0,,,no_ik_solution
-0.3,0.79,0,,,no_ik_solution
-0.3,0.81,0,,,no_ik_solution
-0.3,0.83,0,,,no_ik_solution
-0.3,0.85,0,,,no_ik_solution
-0.3,0.87,0,,,no_ik_solution
-0.3,0.89,0,,,no_ik_solution
-0.3,0.91,0,,,no_ik_solution
-0.3,0.93,0,,,no_ik_solution
-0.3,0.95,0,,,no_ik_solution
-0.28,0.05,0,,,no_ik_solution
-0.28,0.07,0,,,no_ik_solution
-0.28,0.09,1,0,90,
-0.28,0.11,1,0,60,
-0.28,0.13,1,0,0,
-0.28,0.15,1,0,30,
-0.28,0.17,1,0,30,
-0.28,0.19,1,0,30,
-0.28,0.21,1,0,30,
-0.28,0.23,1,0,30,
-0.28,0.25,1,0,30,
-0.28,0.27,1,0,30,
-0.28,0.29,1,0,30,
-0.28,0.31,1,0,30,
-0.28,0.33,1,0,60,
-0.28,0.35,1,0,60,
-0.28,0.37,1,0,60,
-0.28,0.39,1,0,0,
-0.28,0.41,1,0,0,
-0.28,0.43,1,0,0,
-0.28,0.45,1,0,0,
-0.28,0.47,1,0,0,
-0.28,0.49,1,0,0,
-0.28,0.51,1,5,-30,
-0.28,0.53,0,,,no_ik_solution
-0.28,0.55,0,,,no_ik_solution
-0.28,0.57,0,,,no_ik_solution
-0.28,0.59,0,,,no_ik_solution
-0.28,0.61,0,,,no_ik_solution
-0.28,0.63,0,,,no_ik_solution
