time_s,x,y,z,surface,pitch_deg,yaw_deg,joint1,joint2,joint3,joint4,joint5,joint6
0.0,-0.24,0.44,0.1908,countertop,10.0,0.0,0.51488,2.436169,-2.076654,-0.093898,1.147769,-1.023823
0.1,-0.22,0.44,0.1908,countertop,5.0,0.0,0.471061,2.422322,-2.053569,-0.042783,1.211003,-1.085932
0.2,-0.2,0.44,0.1908,countertop,5.0,0.0,0.433527,2.381563,-1.973957,-0.039749,1.171513,-1.123257
0.3,-0.18,0.44,0.1908,countertop,5.0,0.0,0.394787,2.346675,-1.906437,-0.037198,1.138309,-1.161581
0.4,-0.16,0.44,0.1908,countertop,0.0,0.0,0.348775,2.346473,-1.907415,-8e-06,1.218898,-1.222012
0.5,-0.14,0.44,0.1908,countertop,0.0,0.0,0.308095,2.319912,-1.856399,-0.000219,1.195047,-1.262476
0.6,-0.12,0.44,0.1908,countertop,0.0,0.0,0.2663,2.297241,-1.81313,-0.000245,1.174329,-1.304247
0.7,-0.1,0.44,0.1908,countertop,0.0,0.0,0.223529,2.278417,-1.777405,-0.000268,1.157325,-1.346996
0.8151,-0.07778,0.43401,0.1908,countertop,0.0,0.0,0.177392,2.240143,-1.705346,-0.000335,1.123812,-1.393066
0.8982,-0.06603,0.42226,0.1908,countertop,0.0,0.0,0.155155,2.192265,-1.616345,-0.00019,1.082751,-1.415451
0.9813,-0.05253,0.41256,0.1908,countertop,0.0,0.0,0.126689,2.153369,-1.545034,-0.000276,1.050147,-1.443832
1.0644,-0.03763,0.40519,0.1908,countertop,0.0,0.0,0.092669,2.123996,-1.491806,-0.000366,1.026141,-1.477763
1.1475,-0.02173,0.40034,0.1908,countertop,0.0,0.0,0.054312,2.104683,-1.457118,-0.000441,1.010634,-1.516046
1.2306,-0.00525,0.39814,0.1908,countertop,0.0,0.0,0.013295,2.095886,-1.4414,-0.000487,1.003594,-1.557018
1.3137,0.01136,0.39863,0.1908,countertop,0.0,0.0,-0.02839,2.097836,-1.444878,-0.000491,1.005009,-1.598698
1.3968,0.02767,0.40183,0.1908,countertop,0.0,0.0,-0.068666,2.110475,-1.467494,-0.000454,1.014869,-1.639012
1.4799,0.04325,0.40762,0.1908,countertop,0.0,0.0,-0.10563,2.133472,-1.508916,-0.000383,1.033169,-1.676045
1.563,0.05768,0.41587,0.1908,countertop,0.0,0.0,-0.137755,2.166313,-1.56866,-0.000294,1.059927,-1.708258
1.6462,0.07058,0.42636,0.1908,countertop,0.0,0.0,-0.164004,2.208454,-1.64629,-0.000204,1.095235,-1.734596
1.729,0.08,0.44,0.1908,countertop,0.0,0.0,-0.179832,2.262823,-1.747953,-9.7e-05,1.14222,-1.750531
1.829,0.1,0.44,0.1908,countertop,0.0,0.0,-0.223424,2.278197,-1.776987,-0.000266,1.156496,-1.793952
1.929,0.12,0.44,0.1908,countertop,0.0,0.0,-0.266203,2.29695,-1.812576,-0.000244,1.173255,-1.836752
2.029,0.14,0.44,0.1908,countertop,0.0,0.0,-0.308009,2.319525,-1.855658,-0.000219,1.193652,-1.878583
2.129,0.16,0.44,0.1908,countertop,0.0,0.0,-0.348732,2.346244,-1.906976,-0.000191,1.218105,-1.919333
2.229,0.18,0.44,0.1908,countertop,5.0,0.0,-0.394731,2.346368,-1.905819,0.036924,1.13717,-1.979685
2.329,0.2,0.44,0.1908,countertop,5.0,0.0,-0.43352,2.381515,-1.973861,0.03975,1.171347,-2.018327
2.429,0.22,0.44,0.1908,countertop,5.0,0.0,-0.470963,2.422613,-2.05416,0.042251,1.211953,-2.055062
2.529,0.24,0.44,0.1908,countertop,10.0,30.0,-0.514895,2.436201,-2.076718,0.094019,1.147872,-1.594295
3.2643,0.36,0.355,0.1908,countertop,10.0,30.0,-0.815138,2.474281,-2.15205,0.135033,1.218236,-1.901523
3.3643,0.34,0.355,0.1908,countertop,10.0,30.0,-0.786587,2.401759,-2.009126,0.1354,1.145082,-1.882348
3.4643,0.32,0.355,0.1908,countertop,5.0,30.0,-0.744972,2.363677,-1.939242,0.06494,1.170232,-1.816037
3.5643,0.3,0.355,0.1908,countertop,0.0,30.0,-0.701734,2.332211,-1.879982,0.000608,1.205752,-1.749511
3.6643,0.28,0.355,0.1908,countertop,0.0,30.0,-0.667871,2.282123,-1.784429,0.000232,1.161244,-1.715302
3.7643,0.26,0.355,0.1908,countertop,0.0,30.0,-0.632186,2.236919,-1.699312,0.000278,1.12112,-1.679661
3.8643,0.24,0.355,0.1908,countertop,0.0,30.0,-0.594534,2.196128,-1.623476,0.000334,1.08592,-1.642064
3.9643,0.22,0.355,0.1908,countertop,0.0,30.0,-0.554863,2.159177,-1.555622,0.000397,1.054905,-1.602456
4.0643,0.2,0.355,0.1908,countertop,0.0,0.0,-0.513015,2.125587,-1.494675,-0.000207,1.027056,-2.083607
4.1643,0.18,0.355,0.1908,countertop,0.0,0.0,-0.469363,2.095496,-1.440704,0.000525,1.003514,-2.04068
4.2643,0.16,0.355,0.1908,countertop,0.0,0.0,-0.423555,2.068425,-1.392684,0.000616,0.982511,-1.994962
4.3643,0.14,0.355,0.1908,countertop,0.0,0.0,-0.375773,2.044437,-1.350571,0.000695,0.964339,-1.947257
4.4643,0.12,0.355,0.1908,countertop,0.0,0.0,-0.326119,2.023522,-1.314205,0.000773,0.948847,-1.89768
4.5643,0.1,0.355,0.1908,countertop,0.0,0.0,-0.27474,2.005703,-1.283492,0.000847,0.935915,-1.846375
4.6643,0.08,0.355,0.1908,countertop,0.0,0.0,-0.221829,1.991023,-1.258379,0.000915,0.925449,-1.79353
4.7643,0.06,0.355,0.1908,countertop,0.0,0.0,-0.167624,1.979531,-1.238845,0.000972,0.917375,-1.739382
4.8643,0.04,0.355,0.1908,countertop,0.0,0.0,-0.112405,1.971279,-1.224884,0.001017,0.911639,-1.684207
5.2643,-0.04,0.355,0.1908,countertop,0.0,0.0,0.112153,1.971263,-1.224857,0.000258,0.911571,-1.458897
5.3643,-0.06,0.355,0.1908,countertop,0.0,0.0,0.167239,1.979489,-1.238773,0.00097,0.91719,-1.404517
5.4643,-0.08,0.355,0.1908,countertop,0.0,0.0,0.221464,1.990964,-1.258279,0.00094,0.925193,-1.350262
5.5643,-0.1,0.355,0.1908,countertop,0.0,0.0,0.274403,2.005628,-1.283362,0.000876,0.935584,-1.29726
5.6643,-0.12,0.355,0.1908,countertop,0.0,0.0,0.325813,2.023427,-1.314041,0.000803,0.948434,-1.245777
5.7643,-0.14,0.355,0.1908,countertop,0.0,0.0,0.3755,2.04432,-1.350366,0.000724,0.963832,-1.196013
5.8643,-0.16,0.355,0.1908,countertop,0.0,0.0,0.423316,2.068282,-1.392431,0.000643,0.981896,-1.148117
5.9643,-0.18,0.355,0.1908,countertop,0.0,0.0,0.469159,2.095321,-1.440393,0.000563,1.002773,-1.102194
6.0643,-0.2,0.355,0.1908,countertop,0.0,0.0,0.512967,2.12549,-1.494501,0.000485,1.026656,-1.058309
6.1643,-0.22,0.355,0.1908,countertop,0.0,0.0,0.554716,2.158907,-1.55513,0.000411,1.053798,-1.016488
6.2643,-0.24,0.355,0.1908,countertop,0.0,0.0,0.594412,2.195785,-1.622841,0.000344,1.084541,-0.976724
6.3643,-0.26,0.355,0.1908,countertop,0.0,0.0,0.632087,2.236468,-1.698466,0.000282,1.11936,-0.938989
6.4643,-0.28,0.355,0.1908,countertop,0.0,0.0,0.667793,2.281509,-1.783263,0.000227,1.158939,-0.903229
6.5643,-0.3,0.355,0.1908,countertop,0.0,0.0,0.701626,2.332196,-1.879949,1.4e-05,1.205699,-0.869183
6.6643,-0.32,0.355,0.1908,countertop,5.0,0.0,0.744724,2.363581,-1.93908,-0.0635,1.169896,-0.803557
6.7643,-0.34,0.355,0.1908,countertop,10.0,0.0,0.786451,2.401578,-2.008793,-0.134595,1.144458,-0.736515
6.8643,-0.36,0.355,0.1908,countertop,10.0,0.0,0.815151,2.474261,-2.152005,-0.135077,1.218174,-0.716412
7.334,-0.4,0.27,0.1908,countertop,5.0,0.0,0.990795,2.391113,-1.992537,-0.077885,1.212605,-0.554412
7.434,-0.38,0.27,0.1908,countertop,0.0,0.0,0.953156,2.338172,-1.891441,-0.000626,1.211931,-0.617038
7.534,-0.36,0.27,0.1908,countertop,0.0,0.0,0.927298,2.273668,-1.768418,0.0,1.152804,-0.643497
7.634,-0.34,0.27,0.1908,countertop,0.0,0.0,0.899695,2.215982,-1.660272,-0.000215,1.103158,-0.670885
7.734,-0.32,0.27,0.1908,countertop,0.0,0.0,0.869997,2.162738,-1.562128,-0.00028,1.058075,-0.700518
7.834,-0.3,0.27,0.1908,countertop,0.0,0.0,0.838052,2.113341,-1.47264,-0.000357,1.017849,-0.732388
7.934,-0.28,0.27,0.1908,countertop,0.0,0.0,0.803667,2.067185,-1.390497,-0.00045,0.981764,-0.766682
8.034,-0.26,0.27,0.1908,countertop,0.0,0.0,0.766644,2.023882,-1.314829,-0.00056,0.949324,-0.803597
8.134,-0.24,0.27,0.1908,countertop,0.0,0.0,0.726782,1.983194,-1.24506,-0.000688,0.920181,-0.843333
8.234,-0.22,0.27,0.1908,countertop,0.0,0.0,0.683881,1.944997,-1.180818,-0.000837,0.894085,-0.886087
8.334,-0.2,0.27,0.1908,countertop,0.0,0.0,0.637759,1.909255,-1.121883,-0.001006,0.870847,-0.932042
8.434,-0.18,0.27,0.1908,countertop,0.0,0.0,0.588022,1.875958,-1.068069,-7.7e-05,0.850115,-0.982699
8.534,-0.16,0.27,0.1908,countertop,0.0,0.0,0.534978,1.845314,-1.019528,-9.2e-05,0.832218,-1.035728
8.634,-0.14,0.27,0.1908,countertop,0.0,0.0,0.47838,1.817424,-0.976215,-0.000112,0.816793,-1.092307
8.734,-0.12,0.27,0.1908,countertop,0.0,0.0,0.418257,1.792497,-0.938232,-0.000132,0.803736,-1.15241
8.834,-0.1,0.27,0.1908,countertop,0.0,0.0,0.354743,1.770774,-0.905715,-0.000153,0.79294,-1.215903
8.934,-0.08,0.27,0.1908,countertop,0.0,0.0,0.288098,1.752514,-0.878816,-0.000173,0.784301,-1.282528
9.034,-0.06,0.27,0.1908,countertop,0.0,0.0,0.218716,1.737977,-0.857694,-0.000191,0.777714,-1.351893
9.134,-0.04,0.27,0.1908,countertop,0.0,0.0,0.147129,1.727399,-0.84249,-0.000205,0.773087,-1.423465
9.234,-0.02,0.27,0.1908,countertop,0.0,0.0,0.073992,1.72097,-0.833318,-0.000215,0.770343,-1.496592
9.334,0.0,0.27,0.1908,countertop,0.0,0.0,5.5e-05,1.718813,-0.830252,-0.000219,0.769434,-1.570526
9.434,0.02,0.27,0.1908,countertop,0.0,0.0,-0.073885,1.72097,-0.833318,-0.000218,0.770342,-1.644467
9.534,0.04,0.27,0.1908,countertop,0.0,0.0,-0.147026,1.727399,-0.842489,-0.000211,0.773084,-1.717615
9.634,0.06,0.27,0.1908,countertop,0.0,0.0,-0.21862,1.737977,-0.857693,-0.000198,0.77771,-1.789221
9.734,0.08,0.27,0.1908,countertop,0.0,0.0,-0.288011,1.752513,-0.878815,-0.000182,0.784295,-1.858629
9.834,0.1,0.27,0.1908,countertop,0.0,0.0,-0.354666,1.770772,-0.905712,-0.000162,0.792933,-1.925303
9.934,0.12,0.27,0.1908,countertop,0.0,0.0,-0.41819,1.792495,-0.938229,-0.000141,0.803727,-1.988847
10.034,0.14,0.27,0.1908,countertop,0.0,0.0,-0.478323,1.817422,-0.976212,-0.00012,0.816783,-2.049001
10.134,0.16,0.27,0.1908,countertop,0.0,30.0,-0.535111,1.845288,-1.019498,0.000722,0.832106,-1.583022
10.234,0.18,0.27,0.1908,countertop,0.0,30.0,-0.587983,1.875955,-1.068063,-7.8e-05,0.850101,-1.635104
10.334,0.2,0.27,0.1908,countertop,0.0,30.0,-0.637324,1.909132,-1.121682,-0.001057,0.870305,-1.683477
10.434,0.22,0.27,0.1908,countertop,0.0,30.0,-0.683517,1.944852,-1.180576,-0.000916,0.893444,-1.729809
10.534,0.24,0.27,0.1908,countertop,0.0,30.0,-0.726486,1.983023,-1.244768,-0.000752,0.919427,-1.77294
10.634,0.26,0.27,0.1908,countertop,0.0,30.0,-0.766407,2.023677,-1.314474,-0.000609,0.94843,-1.813002
10.734,0.28,0.27,0.1908,countertop,0.0,30.0,-0.803479,2.066936,-1.390058,-0.000486,0.980694,-1.850195
10.834,0.3,0.27,0.1908,countertop,0.0,30.0,-0.837903,2.113032,-1.472084,-0.000382,1.016544,-1.884722
10.934,0.32,0.27,0.1908,countertop,0.0,30.0,-0.869881,2.162341,-1.561401,-0.000296,1.056444,-1.916785
11.034,0.34,0.27,0.1908,countertop,0.0,30.0,-0.899606,2.215454,-1.659288,-0.000224,1.101064,-1.94658
11.134,0.36,0.27,0.1908,countertop,0.0,30.0,-0.927292,2.273633,-1.768353,1e-06,1.152674,-1.974489
11.234,0.38,0.27,0.1908,countertop,0.0,30.0,-0.953038,2.337893,-1.890898,3e-06,1.210935,-2.000237
11.334,0.4,0.27,0.1908,countertop,5.0,30.0,-0.990793,2.391054,-1.992419,0.077914,1.212405,-2.063608
11.7706,0.42,0.185,0.1908,countertop,0.0,60.0,-1.155905,2.308452,-1.834493,9.4e-05,1.18407,-1.679595
11.8706,0.4,0.185,0.1908,countertop,0.0,60.0,-1.137596,2.239169,-1.703518,1.4e-05,1.122397,-1.661207
11.9706,0.38,0.185,0.1908,countertop,0.0,60.0,-1.117763,2.176095,-1.586591,0.000191,1.069341,-1.641552
12.0706,0.36,0.185,0.1908,countertop,0.0,60.0,-1.096144,2.11705,-1.479306,0.000254,1.020928,-1.619994
12.1706,0.34,0.185,0.1908,countertop,0.0,60.0,-1.072541,2.061327,-1.38018,0.00033,0.9774,-1.596466
12.2706,0.32,0.185,0.1908,countertop,0.0,30.0,-1.046538,2.008091,-1.287595,-0.000375,0.937453,-2.093366
12.3706,0.3,0.185,0.1908,countertop,0.0,30.0,-1.018313,1.957263,-1.201309,0.000521,0.902426,-2.066027
12.4706,0.28,0.185,0.1908,countertop,0.0,30.0,-0.987066,1.908095,-1.119991,0.000697,0.87022,-2.034953
12.5706,0.26,0.185,0.1908,countertop,0.0,30.0,-0.952552,1.860486,-1.043443,0.000885,0.841232,-2.000624
12.6706,0.24,0.185,0.1908,countertop,0.0,30.0,-0.914333,1.814291,-0.971405,0.001115,0.815347,-1.962632
12.7706,0.22,0.185,0.1908,countertop,0.0,30.0,-0.871629,1.769397,-0.903671,0.000124,0.79228,-1.918949
12.8706,0.2,0.185,0.1908,countertop,0.0,30.0,-0.824372,1.725934,-0.840394,0.000153,0.772464,-1.871721
12.9706,0.18,0.185,0.1908,countertop,0.0,30.0,-0.771744,1.68396,-0.781565,0.000193,0.755607,-1.819133
13.0706,0.16,0.185,0.1908,countertop,0.0,30.0,-0.713119,1.643702,-0.727367,0.000241,0.741664,-1.760554
13.1706,0.14,0.185,0.1908,countertop,0.0,30.0,-0.647886,1.605517,-0.678066,0.000297,0.730547,-1.695376
13.2706,0.12,0.185,0.1908,countertop,0.0,30.0,-0.57552,1.569904,-0.634009,0.000359,0.7221,-1.62307
13.3706,0.1,0.185,0.1908,countertop,0.0,0.0,-0.495533,1.537522,-0.595605,-5.3e-05,0.716081,-2.066278
13.4706,0.08,0.185,0.1908,countertop,0.0,0.0,-0.408291,1.509166,-0.563303,0.000488,0.712126,-1.979567
13.5706,0.06,0.185,0.1908,countertop,0.0,0.0,-0.313788,1.485741,-0.537564,0.000557,0.709807,-1.885131
13.6706,0.04,0.185,0.1908,countertop,0.0,0.0,-0.213128,1.468163,-0.518815,0.000612,0.708634,-1.784524
13.7706,0.02,0.185,0.1908,countertop,0.0,0.0,-0.107896,1.457239,-0.50741,0.000652,0.70815,-1.679331
13.8706,0.0,0.185,0.1908,countertop,0.0,0.0,-0.000213,1.45353,-0.503582,0.000672,0.708029,-1.571668
13.9706,-0.02,0.185,0.1908,countertop,0.0,0.0,0.107479,1.457238,-0.50741,0.000669,0.708149,-1.463974
14.0706,-0.04,0.185,0.1908,countertop,0.0,0.0,0.212739,1.468162,-0.518815,0.000643,0.708631,-1.358689
14.1706,-0.06,0.185,0.1908,countertop,0.0,0.0,0.31344,1.48574,-0.537563,0.000598,0.709803,-1.257943
14.2706,-0.08,0.185,0.1908,countertop,0.0,0.0,0.407992,1.509164,-0.563302,0.000538,0.71212,-1.163333
14.3706,-0.1,0.185,0.1908,countertop,0.0,0.0,0.49542,1.537519,-0.595603,0.00047,0.71607,-1.075839
14.4706,-0.12,0.185,0.1908,countertop,0.0,0.0,0.575318,1.569902,-0.634007,0.000401,0.722093,-0.995873
14.5706,-0.14,0.185,0.1908,countertop,0.0,0.0,0.647727,1.605515,-0.678064,0.000333,0.730539,-0.923398
14.6706,-0.16,0.185,0.1908,countertop,0.0,0.0,0.712995,1.6437,-0.727364,0.000272,0.741655,-0.858069
14.7706,-0.18,0.185,0.1908,countertop,0.0,0.0,0.77165,1.683957,-0.781562,0.000217,0.755596,-0.79936
14.8706,-0.2,0.185,0.1908,countertop,0.0,0.0,0.824302,1.725931,-0.840389,0.000172,0.772451,-0.746664
14.9706,-0.22,0.185,0.1908,countertop,0.0,0.0,0.871576,1.769393,-0.903666,0.000134,0.792265,-0.699352
15.0706,-0.24,0.185,0.1908,countertop,0.0,0.0,0.913829,1.814163,-0.97121,0.001213,0.814791,-0.658165
15.1706,-0.26,0.185,0.1908,countertop,0.0,0.0,0.952153,1.860338,-1.043209,0.001012,0.840582,-0.619643
15.2706,-0.28,0.185,0.1908,countertop,0.0,0.0,0.986762,1.907924,-1.11971,0.000794,0.869461,-0.584819
15.3706,-0.3,0.185,0.1908,countertop,0.0,0.0,1.018088,1.957062,-1.200971,0.000616,0.901538,-0.553317
15.4706,-0.32,0.185,0.1908,countertop,0.0,0.0,1.046524,2.007985,-1.287411,0.000474,0.936996,-0.524741
15.5706,-0.34,0.185,0.1908,countertop,0.0,0.0,1.072411,2.06103,-1.379657,0.000362,0.97612,-0.498742
15.6706,-0.36,0.185,0.1908,countertop,0.0,0.0,1.096049,2.116674,-1.478629,0.000273,1.019345,-0.475017
15.7706,-0.38,0.185,0.1908,countertop,0.0,0.0,1.117694,2.175601,-1.585682,0.000204,1.067326,-0.453304
15.8706,-0.4,0.185,0.1908,countertop,0.0,0.0,1.137597,2.239139,-1.703461,1.4e-05,1.12228,-0.433212
