time_s,x,y,z,surface,pitch_deg,yaw_deg,joint1,joint2,joint3,joint4,joint5,joint6
0.0,-0.26,0.4092,0.45,mirror,0.0,90.0,0.684912,2.043064,-2.040299,1.673506,-0.689218,-1.703635
0.1333,-0.24,0.4092,0.45,mirror,0.0,90.0,0.646049,1.985499,-1.946971,1.636535,-0.647718,-1.652756
0.2667,-0.22,0.4092,0.45,mirror,0.0,90.0,0.604752,1.934403,-1.866698,1.600496,-0.605101,-1.606502
0.4,-0.2,0.4092,0.45,mirror,0.0,90.0,0.560959,1.88868,-1.797165,1.565722,-0.561028,-1.564402
0.5333,-0.18,0.4092,0.45,mirror,0.0,90.0,0.514596,1.84764,-1.736273,1.528298,-0.51511,-1.52193
0.6667,-0.16,0.4092,0.45,mirror,0.0,90.0,0.465692,1.811007,-1.683703,1.491509,-0.467285,-1.481987
0.8,-0.14,0.4092,0.45,mirror,0.0,90.0,0.414264,1.778569,-1.638362,1.451442,-0.417439,-1.440286
0.9333,-0.12,0.4092,0.45,mirror,0.0,90.0,0.360408,1.75027,-1.599764,1.405566,-0.365672,-1.394008
1.0667,-0.1,0.4092,0.45,mirror,0.0,90.0,0.304292,1.726133,-1.567602,1.350018,-0.312251,-1.339043
1.2,-0.08,0.4092,0.45,mirror,0.0,90.0,0.246074,1.706194,-1.541223,1.271491,-0.257817,-1.261861
1.3333,-0.06,0.4092,0.45,mirror,0.0,90.0,0.186185,1.690584,-1.52117,1.162389,-0.203277,-1.154691
1.4667,-0.04,0.4092,0.45,mirror,0.0,90.0,0.124858,1.679351,-1.506726,0.975144,-0.151124,-0.969794
1.6,-0.02,0.4092,0.45,mirror,0.0,90.0,0.062691,1.672592,-1.498244,0.62813,-0.107249,-0.625388
1.7333,-0.0,0.4092,0.45,mirror,0.0,90.0,0.00013,1.670331,-1.495374,0.006441,-0.087679,-0.006427
1.8667,0.02,0.4092,0.45,mirror,0.0,90.0,-0.062527,1.67258,-1.498072,-0.619509,-0.107308,0.616784
2.0,0.04,0.4092,0.45,mirror,0.0,90.0,-0.124816,1.679345,-1.506633,-0.972707,-0.151172,0.967365
2.1333,0.06,0.4092,0.45,mirror,0.0,90.0,-0.186122,1.69057,-1.52095,-1.158371,-0.203363,1.15068
2.2667,0.08,0.4092,0.45,mirror,0.0,90.0,-0.24604,1.706182,-1.541064,-1.269274,-0.257835,1.259647
2.4,0.1,0.4092,0.45,mirror,0.0,90.0,-0.304244,1.726112,-1.56729,-1.346475,-0.312308,1.335497
2.5333,0.12,0.4092,0.45,mirror,0.0,90.0,-0.360366,1.750243,-1.599426,-1.402358,-0.365675,1.390792
2.6667,0.14,0.4092,0.45,mirror,0.0,90.0,-0.414245,1.778552,-1.638169,-1.449845,-0.417438,1.438685
2.8,0.16,0.4092,0.45,mirror,0.0,90.0,-0.465682,1.810996,-1.683585,-1.49064,-0.467283,1.481115
2.9333,0.18,0.4092,0.45,mirror,0.0,90.0,-0.51459,1.847632,-1.736191,-1.527757,-0.515108,1.521388
3.0667,0.2,0.4092,0.45,mirror,0.0,90.0,-0.560916,1.888583,-1.79636,-1.561154,-0.560821,1.55978
3.2,0.22,0.4092,0.45,mirror,0.0,90.0,-0.604718,1.934297,-1.865938,-1.596666,-0.604842,1.602616
3.3333,0.24,0.4092,0.45,mirror,0.0,90.0,-0.646019,1.985377,-1.946227,-1.633242,-0.647394,1.6494
