time_s,x,y,z,surface
0.0,-0.3,0.46,0.1908,countertop
0.0,-0.28,0.46,0.1908,countertop
0.0,-0.26,0.46,0.1908,countertop
0.0,-0.24,0.46,0.1908,countertop
0.0,-0.22,0.46,0.1908,countertop
0.0,-0.2,0.46,0.1908,countertop
0.0,-0.18,0.46,0.1908,countertop
0.0,-0.16,0.46,0.1908,countertop
0.0,-0.14,0.46,0.1908,countertop
0.0,-0.12,0.46,0.1908,countertop
0.0,-0.1,0.46,0.1908,countertop
0.0,-0.08,0.46,0.1908,countertop
0.0,-0.06,0.46,0.1908,countertop
0.0,-0.04,0.46,0.1908,countertop
0.0,-0.02,0.46,0.1908,countertop
0.0,0.0,0.46,0.1908,countertop
0.0,0.02,0.46,0.1908,countertop
0.0,0.04,0.46,0.1908,countertop
0.0,0.06,0.46,0.1908,countertop
0.0,0.08,0.46,0.1908,countertop
0.0,0.1,0.46,0.1908,countertop
0.0,0.12,0.46,0.1908,countertop
0.0,0.14,0.46,0.1908,countertop
0.0,0.16,0.46,0.1908,countertop
0.0,0.18,0.46,0.1908,countertop
0.0,0.2,0.46,0.1908,countertop
0.0,0.22,0.46,0.1908,countertop
0.0,0.24,0.46,0.1908,countertop
0.0,0.26,0.46,0.1908,countertop
0.0,0.28,0.46,0.1908,countertop
0.0,0.3,0.46,0.1908,countertop
0.0,0.3,0.5,0.1908,countertop
0.0,0.28,0.5,0.1908,countertop
0.0,0.26,0.5,0.1908,countertop
0.0,0.24,0.5,0.1908,countertop
0.0,0.22,0.5,0.1908,countertop
0.0,0.2,0.5,0.1908,countertop
0.0,0.18,0.5,0.1908,countertop
0.0,0.16,0.5,0.1908,countertop
0.0,0.14,0.5,0.1908,countertop
0.0,0.12,0.5,0.1908,countertop
0.0,0.1,0.5,0.1908,countertop
0.0,0.08,0.5,0.1908,countertop
0.0,0.06,0.5,0.1908,countertop
0.0,0.04,0.5,0.1908,countertop
0.0,0.02,0.5,0.1908,countertop
0.0,0.0,0.5,0.1908,countertop
0.0,-0.02,0.5,0.1908,countertop
0.0,-0.04,0.5,0.1908,countertop
0.0,-0.06,0.5,0.1908,countertop
0.0,-0.08,0.5,0.1908,countertop
0.0,-0.1,0.5,0.1908,countertop
0.0,-0.12,0.5,0.1908,countertop
0.0,-0.14,0.5,0.1908,countertop
0.0,-0.16,0.5,0.1908,countertop
0.0,-0.18,0.5,0.1908,countertop
0.0,-0.2,0.5,0.1908,countertop
0.0,-0.22,0.5,0.1908,countertop
0.0,-0.24,0.5,0.1908,countertop
0.0,-0.26,0.5,0.1908,countertop
0.0,-0.28,0.5,0.1908,countertop
0.0,-0.3,0.5,0.1908,countertop
