t,mode,x,y,z,force_n,target_n,v_norm_cmd_mps,v_lat_mps,obstacle_active
0.0,approach,-0.26,0.5202,0.35,0.0,6.0,0.02,0.0,0
0.01,approach,-0.26,0.5204,0.35,0.0,6.0,0.02,0.0,0
0.02,approach,-0.26,0.5206,0.35,0.0,6.0,0.02,0.0,0
0.03,approach,-0.26,0.5208,0.35,0.0,6.0,0.02,0.0,0
0.04,approach,-0.26,0.521,0.35,0.0,6.0,0.02,0.0,0
0.05,approach,-0.26,0.5212,0.35,0.0,6.0,0.02,0.0,0
0.06,approach,-0.26,0.5214,0.35,0.0,6.0,0.02,0.0,0
0.07,approach,-0.26,0.5216,0.35,0.0,6.0,0.02,0.0,0
0.08,approach,-0.26,0.5218,0.35,0.0,6.0,0.02,0.0,0
0.09,approach,-0.26,0.522,0.35,0.0,6.0,0.02,0.0,0
0.1,approach,-0.26,0.5222,0.35,0.0,6.0,0.02,0.0,0
0.11,approach,-0.26,0.5224,0.35,0.0,6.0,0.02,0.0,0
0.12,approach,-0.26,0.5226,0.35,0.0,6.0,0.02,0.0,0
0.13,approach,-0.26,0.5228,0.35,0.0,6.0,0.02,0.0,0
0.14,approach,-0.26,0.523,0.35,0.0,6.0,0.02,0.0,0
0.15,approach,-0.26,0.5232,0.35,0.0,6.0,0.02,0.0,0
0.16,approach,-0.26,0.5234,0.35,0.0,6.0,0.02,0.0,0
0.17,approach,-0.26,0.5236,0.35,0.0,6.0,0.02,0.0,0
0.18,approach,-0.26,0.5238,0.35,0.0,6.0,0.02,0.0,0
0.19,approach,-0.26,0.524,0.35,0.0,6.0,0.02,0.0,0
0.2,approach,-0.26,0.5242,0.35,0.0,6.0,0.02,0.0,0
0.21,approach,-0.26,0.5244,0.35,0.0,6.0,0.02,0.0,0
0.22,approach,-0.26,0.5246,0.35,0.0,6.0,0.02,0.0,0
0.23,approach,-0.26,0.5248,0.35,0.0,6.0,0.02,0.0,0
0.24,approach,-0.26,0.525,0.35,0.0,6.0,0.02,0.0,0
0.25,approach,-0.26,0.5252,0.35,0.0,6.0,0.02,0.0,0
0.26,approach,-0.26,0.5254,0.35,0.0,6.0,0.02,0.0,0
0.27,approach,-0.26,0.5256,0.35,0.0,6.0,0.02,0.0,0
0.28,approach,-0.26,0.5258,0.35,0.0,6.0,0.02,0.0,0
0.29,approach,-0.26,0.526,0.35,0.0,6.0,0.02,0.0,0
0.3,approach,-0.26,0.5262,0.35,0.0,6.0,0.02,0.0,0
0.31,approach,-0.26,0.5264,0.35,0.0,6.0,0.02,0.0,0
0.32,approach,-0.26,0.5266,0.35,0.0,6.0,0.02,0.0,0
0.33,approach,-0.26,0.5268,0.35,0.0,6.0,0.02,0.0,0
0.34,approach,-0.26,0.527,0.35,0.0,6.0,0.02,0.0,0
0.35,approach,-0.26,0.5272,0.35,0.0,6.0,0.02,0.0,0
0.36,approach,-0.26,0.5274,0.35,0.0,6.0,0.02,0.0,0
0.37,approach,-0.26,0.5276,0.35,0.0,6.0,0.02,0.0,0
0.38,approach,-0.26,0.5278,0.35,0.0,6.0,0.02,0.0,0
0.39,approach,-0.26,0.528,0.35,0.0,6.0,0.02,0.0,0
0.4,approach,-0.26,0.5282,0.35,0.0,6.0,0.02,0.0,0
0.41,approach,-0.26,0.5284,0.35,0.0,6.0,0.02,0.0,0
0.42,approach,-0.26,0.5286,0.35,0.0,6.0,0.02,0.0,0
0.43,approach,-0.26,0.5288,0.35,0.0,6.0,0.02,0.0,0
0.44,approach,-0.26,0.529,0.35,0.0,6.0,0.02,0.0,0
0.45,approach,-0.26,0.5292,0.35,0.0,6.0,0.02,0.0,0
0.46,approach,-0.26,0.5294,0.35,0.0,6.0,0.02,0.0,0
0.47,approach,-0.26,0.5296,0.35,0.0,6.0,0.02,0.0,0
0.48,approach,-0.26,0.5298,0.35,0.0,6.0,0.02,0.0,0
0.49,approach,-0.26,0.53,0.35,0.0,6.0,0.02,0.0,0
0.5,approach,-0.26,0.5302,0.35,0.0,6.0,0.02,0.0,0
0.51,approach,-0.26,0.5304,0.35,0.0,6.0,0.02,0.0,0
0.52,approach,-0.26,0.5306,0.35,0.0,6.0,0.02,0.0,0
0.53,approach,-0.26,0.5308,0.35,0.0,6.0,0.02,0.0,0
0.54,approach,-0.26,0.531,0.35,0.0,6.0,0.02,0.0,0
0.55,approach,-0.26,0.5312,0.35,0.0,6.0,0.02,0.0,0
0.56,approach,-0.26,0.5314,0.35,0.0,6.0,0.02,0.0,0
0.57,approach,-0.26,0.5316,0.35,0.0,6.0,0.02,0.0,0
0.58,approach,-0.26,0.5318,0.35,0.0,6.0,0.02,0.0,0
0.59,approach,-0.26,0.532,0.35,0.0,6.0,0.02,0.0,0
0.6,approach,-0.26,0.5322,0.35,0.0,6.0,0.02,0.0,0
0.61,approach,-0.26,0.5324,0.35,0.0,6.0,0.02,0.0,0
0.62,approach,-0.26,0.5326,0.35,0.0,6.0,0.02,0.0,0
0.63,approach,-0.26,0.5328,0.35,0.0,6.0,0.02,0.0,0
0.64,approach,-0.26,0.533,0.35,0.0,6.0,0.02,0.0,0
0.65,approach,-0.26,0.5332,0.35,0.0,6.0,0.02,0.0,0
0.66,approach,-0.26,0.5334,0.35,0.0,6.0,0.02,0.0,0
0.67,approach,-0.26,0.5336,0.35,0.0,6.0,0.02,0.0,0
0.68,approach,-0.26,0.5338,0.35,0.0,6.0,0.02,0.0,0
0.69,approach,-0.26,0.534,0.35,0.0,6.0,0.02,0.0,0
0.7,approach,-0.26,0.5342,0.35,0.0,6.0,0.02,0.0,0
0.71,approach,-0.26,0.5344,0.35,0.0,6.0,0.02,0.0,0
0.72,approach,-0.26,0.5346,0.35,0.0,6.0,0.02,0.0,0
0.73,approach,-0.26,0.5348,0.35,0.0,6.0,0.02,0.0,0
0.74,approach,-0.26,0.535,0.35,0.0,6.0,0.02,0.0,0
0.75,approach,-0.26,0.5352,0.35,0.0,6.0,0.02,0.0,0
